level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	35	346	121	29	-1	
3	1	1	1	0	0	35	346	121	29	-1	
4	1	1	1	1	0	35	346	121	29	-1	
5	1	1	1	1	1	35	342	25	38	13	STU
5	1	1	1	1	2	59	342	23	38	8	Tea
5	1	1	1	1	3	87	346	69	29	0	laat-1
5	1	1	1	1	4	135	342	7	38	0	a
2	1	2	0	0	0	34	398	553	42	-1	
3	1	2	1	0	0	34	398	553	42	-1	
4	1	2	1	1	0	34	398	553	16	-1	
5	1	2	1	1	1	34	400	10	14	0	I
5	1	2	1	1	2	45	400	56	14	0	Uanton
5	1	2	1	1	3	87	394	23	30	30	CR
5	1	2	1	1	4	110	394	50	30	0	Lesctale
5	1	2	1	1	5	167	394	28	30	39	late
5	1	2	1	1	6	213	399	67	15	17	Mio)
5	1	2	1	1	7	287	398	73	16	5	Relic
5	1	2	1	1	8	340	394	15	30	19	al
5	1	2	1	1	9	355	394	10	30	37	a
5	1	2	1	1	10	375	394	50	30	28	Lace
5	1	2	1	1	11	425	394	33	30	0	(-Lare
5	1	2	1	1	12	476	399	68	15	0	MaTore
5	1	2	1	1	13	522	394	6	30	6	1
5	1	2	1	1	14	555	394	13	30	22	aL
5	1	2	1	1	15	575	404	12	10	25	A)
4	1	2	1	2	0	34	420	190	20	-1	
5	1	2	1	2	1	34	421	81	19	96	in-person
5	1	2	1	2	2	122	420	102	16	96	attendance.
2	1	3	0	0	0	34	472	513	20	-1	
3	1	3	1	0	0	34	472	513	20	-1	
4	1	3	1	1	0	34	472	513	20	-1	
5	1	3	1	1	1	34	472	59	16	96	Shared
5	1	3	1	1	2	100	472	58	16	96	beams
5	1	3	1	1	3	164	472	78	20	96	provided
5	1	3	1	1	4	248	472	50	18	96	value,
5	1	3	1	1	5	305	472	28	16	96	but
5	1	3	1	1	6	339	472	65	16	96	created
5	1	3	1	1	7	412	472	74	20	95	‘identity’
5	1	3	1	1	8	493	474	54	14	95	issues.

