,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,title,paper_file,video_file,subtitle_file,video_url,data_imported
0,0.0,0.0,0.0,0.0,0.0,0.0,Human Perceptions on Moral Responsibility of AI: A Case Study in AI-Assisted Bail Decision-Making,,0.mp4,0.srt,https://www.youtube.com/watch?v=YeUy7gaFm48,N
1,1.0,1.0,1.0,1.0,1.0,1.0,Engineering Multifunctional Spacer Fabrics Through Machine Knitting,,1.mp4,1.srt,https://www.youtube.com/watch?v=J1Yg2L5mydo,N
2,2.0,2.0,2.0,2.0,2.0,2.0,Design and Analysis of Intelligent Text Entry Systems with Function Structure Models and ...,,2.mp4,2.srt,https://www.youtube.com/watch?v=Ra-leaCUwKU,N
3,3.0,3.0,3.0,3.0,3.0,3.0,"Nuanced Perspectives Toward Disability Simulations from Digital Designers, Blind, Low Vision, ...",,3.mp4,3.srt,https://www.youtube.com/watch?v=rSqdz4xU_s4,N
4,4.0,4.0,4.0,4.0,4.0,4.0,From FOMO to JOMO: Examining the Fear and Joy of Missing Out and Presence in a 360° Video ...,,4.mp4,4.srt,https://www.youtube.com/watch?v=8q8MdWbvSQk,N
5,5.0,5.0,5.0,5.0,5.0,5.0,Combining Touchscreens with Passive Rich-ID Building Blocks to Support Context Construction in ...,,5.mp4,5.srt,https://www.youtube.com/watch?v=V5b_9ssT38o,N
6,6.0,6.0,6.0,6.0,6.0,6.0,Drone in Love: Emotional Perception of Facial Expressions on Flying Robots,,6.mp4,6.srt,https://www.youtube.com/watch?v=ZmdKzEh07Q8,N
7,7.0,7.0,7.0,7.0,7.0,7.0,Bedtime Window: A Field Study Connecting Bedrooms of Long-Distance Couples Using a Slow ...,,7.mp4,7.srt,https://www.youtube.com/watch?v=tTbQGPz4asY,N
8,8.0,8.0,8.0,8.0,8.0,8.0,Effect of Information Presentation on Fairness Perceptions of Machine Learning Predictors,,8.mp4,8.srt,https://www.youtube.com/watch?v=zYfbe4StZ6w,N
9,9.0,9.0,9.0,9.0,9.0,9.0,Latte: Use-Case and Assistive-Service Driven Automated Accessibility Testing Framework for Android,,9.mp4,9.srt,https://www.youtube.com/watch?v=Z84jeO0UZFE,N
10,10.0,10.0,10.0,10.0,10.0,10.0,Virtual Camera Layout Generation using a Reference Video,,10.mp4,10.srt,https://www.youtube.com/watch?v=r-fda3BJkH0,N
11,11.0,11.0,11.0,11.0,11.0,11.0,Illustrating the Gaps and Needs in the Training Support of Community Health Workers in India,,11.mp4,11.srt,https://www.youtube.com/watch?v=12iZBdJRBuA,N
12,12.0,12.0,12.0,12.0,12.0,12.0,'We Can Send a Man To The Moon But We Can't Control the Temperature In Our office'; A ...,,12.mp4,12.srt,https://www.youtube.com/watch?v=scCs91xD8h8,N
