level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	640	720	-1	
2	1	1	0	0	0	99	206	104	20	-1	
3	1	1	1	0	0	99	206	104	20	-1	
4	1	1	1	1	0	99	206	104	20	-1	
5	1	1	1	1	1	99	206	104	20	96	Interface
2	1	2	0	0	0	112	489	187	14	-1	
3	1	2	1	0	0	112	489	187	14	-1	
4	1	2	1	1	0	112	489	187	14	-1	
5	1	2	1	1	1	112	489	51	14	0	feketere
5	1	2	1	1	2	172	490	6	11	14	Uc
5	1	2	1	1	3	179	490	57	11	6	USUI
5	1	2	1	1	4	249	492	7	9	18	SOOM
5	1	2	1	1	5	262	489	37	12	32	ed
2	1	3	0	0	0	74	174	492	372	-1	
3	1	3	1	0	0	74	174	492	372	-1	
4	1	3	1	1	0	74	174	492	372	-1	
5	1	3	1	1	1	74	174	492	372	95	 

